Cycle	Avg	Stdev
1	30.456	5.531
2	31.992	3.529
3	32.096	3.774
4	32.452	3.150
5	32.296	3.609
6	35.344	3.575
7	35.464	3.464
8	35.244	3.898
9	35.356	3.612
10	35.608	3.482
11	35.304	3.658
12	35.348	3.819
13	37.208	3.039
14	36.992	3.668
15	36.908	3.970
16	36.984	3.910
17	37.160	3.114
18	36.816	4.131
19	36.832	4.419
20	37.012	3.737
21	37.308	2.491
22	37.464	2.156
23	37.836	3.567
24	37.780	3.392
25	37.820	3.565
26	38.120	2.363
27	37.436	4.306
28	37.496	4.077
29	37.664	3.652
30	37.676	3.449
31	37.724	3.248
32	37.692	3.528
33	37.644	3.716
34	37.720	3.500
35	37.524	4.064
36	37.792	3.144
37	37.692	3.634
38	38.004	2.429
39	37.824	3.296
40	37.592	4.009
41	37.656	3.880
42	37.860	3.236
43	37.932	2.958
44	37.924	3.088
45	37.824	3.717
46	37.872	3.074
47	37.972	3.094
48	37.724	3.393
49	37.608	3.765
50	37.672	3.952
51	37.820	3.369
52	38.256	1.963
53	37.916	3.334
54	37.812	3.533
55	37.496	4.436
56	37.436	4.288
57	37.644	3.750
58	37.600	3.831
59	36.988	5.196
60	37.660	3.797
61	37.696	3.642
62	37.304	4.719
63	37.188	4.932
64	37.944	2.871
65	37.680	3.772
66	37.608	4.095
67	37.268	4.781
68	37.684	3.640
69	37.428	4.221
70	37.580	3.498
71	37.764	3.370
72	37.360	4.488
73	37.104	4.973
74	37.108	4.609
75	37.092	4.322
76	37.492	3.985
77	37.200	4.897
78	37.384	4.220
79	37.476	3.867
80	37.376	4.356
81	37.428	4.376
82	37.348	4.491
83	37.444	4.300
84	37.484	4.101
85	37.340	4.644
86	37.392	4.407
87	37.248	4.535
88	36.804	5.409
89	36.592	6.071
90	37.012	4.864
91	37.220	4.431
92	36.696	5.442
93	36.952	5.351
94	37.308	4.235
95	36.912	5.013
96	37.100	4.604
97	36.924	5.118
98	36.652	5.298
99	37.092	4.480
100	37.088	4.723
101	36.488	6.001
102	37.040	4.364
103	37.320	4.146
104	36.508	5.858
105	37.148	4.606
106	36.984	4.983
107	36.768	5.428
108	37.232	4.276
109	36.652	5.567
110	36.664	5.423
111	37.148	4.524
112	36.656	5.591
113	36.104	6.501
114	36.828	5.362
115	36.856	5.239
116	37.156	4.732
117	36.572	5.595
118	37.204	4.435
119	36.540	5.835
120	36.488	5.958
121	36.796	5.698
122	37.064	4.797
123	36.456	6.022
124	36.844	5.501
125	37.216	4.585
126	37.200	4.713
127	37.496	4.223
128	36.960	5.336
129	36.804	5.194
130	36.860	4.945
131	36.904	5.159
132	36.960	5.030
133	36.888	4.848
134	37.052	4.659
135	37.012	4.694
136	36.772	5.288
137	36.796	5.213
138	36.472	5.974
139	36.396	5.821
140	36.576	5.547
141	36.824	4.734
142	36.584	5.551
143	36.636	5.648
144	36.820	5.181
145	36.736	5.085
146	36.660	5.787
147	36.460	6.061
148	36.276	6.223
149	36.068	6.439
150	36.052	6.359
151	34.668	6.965
