queryID	subjectID	query_length	subject_length	align_length	bit_score	evalue	threshold
NM_007382.4	NM_000016.2	1845	2192	1298	1134	0.0	0.70352303523
NM_023113.4	NM_000049.2	1534	1435	995	1062	0.0	0.648631029987
NM_009653.3	NM_000032.2	1983	1941	1941	2167	0.0	0.978819969743
NM_009653.3	NM_001037969.1	1983	1745	1708	1919	0.0	0.861321230459
NM_009653.3	NM_001037968.1	1983	1937	1455	1757	0.0	0.733736762481
NM_009653.3	NM_001037967.1	1983	1830	1455	1757	0.0	0.733736762481
NM_010323.1	NM_000406.2	1220	5843	1053	1055	0.0	0.863114754098
NM_010877.4	NM_000433.2	2596	2406	1611	1535	0.0	0.620570107858
NM_011183.1	NM_000447.2	1954	2302	1471	1735	0.0	0.752814738997
NM_011183.1	NM_012486.2	1954	2299	1471	1714	0.0	0.752814738997
NM_009029.1	NM_000321.2	4591	4772	2919	3373	0.0	0.635809191897
