organism	chromosome	accession	gene_name	strand	gstart	gend
Homo sapiens	X	NT_086925	LOC728880	+	9624	10037
Homo sapiens	X	NT_078115	CXYorf11	+	25589	27891
Homo sapiens	X	NT_078115	PLCXD1	+	48170	75199
Homo sapiens	X	NT_078115	GTPBP6	-	86066	76605
Homo sapiens	X	NT_028413	PPP2R3B	-	66243	13586
Homo sapiens	X	NT_028413	LOC728949	+	298285	298716
Homo sapiens	X	NT_028413	SHOX	+	303695	338762
Homo sapiens	X	NT_028413	LOC728993	-	660791	659955
Homo sapiens	X	NT_028413	LOC442442	-	689452	682140
Homo sapiens	X	NT_011651	FGF16	+	5956	8321
Homo sapiens	X	NT_011651	ATRX	-	338010	57499
Homo sapiens	X	NT_011651	DKFZp564K142	-	447235	378169
Homo sapiens	X	NT_011651	COX7B	+	451269	457189
Homo sapiens	X	NT_011651	ATP7A	+	462507	601747
Homo sapiens	X	NT_011651	LOC642277	+	481929	514651
Homo sapiens	X	NT_011651	PGAM4	-	521443	519766
Homo sapiens	X	NT_011651	PGK1	+	656077	678632
Homo sapiens	X	NT_011651	TAF9B	-	691487	681553
Homo sapiens	X	NT_011651	LOC727814	+	752540	755385
Homo sapiens	X	NT_011651	CYSLTR1	-	879395	824438
Homo sapiens	X	NT_011651	ZCCHC5	-	1211133	1207874
Homo sapiens	X	NT_011651	GPR23	+	1306609	1308901
Homo sapiens	X	NT_011651	P2RY10	+	1497137	1513746
Homo sapiens	X	NT_011651	LOC449518	+	1636876	1637100
Homo sapiens	X	NT_011651	GPR174	+	1722777	1724034
Homo sapiens	X	NT_011651	LOC347363	+	1817277	1876618
Homo sapiens	X	NT_011651	ITM2A	-	1919355	1912189
Homo sapiens	X	NT_011651	TBX22	+	2574050	2583576
Homo sapiens	X	NT_011651	FAM46D	+	2972273	2997118
Homo sapiens	X	NT_011651	LOC727874	+	3112355	3112921
Homo sapiens	X	NT_011651	LOC347364	+	3113583	3113864
Homo sapiens	X	NT_011651	LOC642546	-	3126414	3123678
Homo sapiens	X	NT_011651	BRWD3	-	3361541	3228003
Homo sapiens	X	NT_011651	LOC642585	+	3481242	3483021
Homo sapiens	X	NT_011651	NSBP1	-	3673424	3665508
Homo sapiens	X	NT_011651	SH3BGRL	+	3753930	3850354
Homo sapiens	X	NT_011651	LOC266683	+	5426939	5427290
Homo sapiens	X	NT_011651	POU3F4	+	6059609	6061083
Homo sapiens	X	NT_011651	LOC648283	-	6324544	6300125
Homo sapiens	X	NT_011651	CYLC1	+	6412462	6550769
Homo sapiens	X	NT_011651	RPS6KA6	-	6750684	6615292
Homo sapiens	X	NT_011651	CXorf43	-	7053766	6872517
Homo sapiens	X	NT_011651	LOC642869	+	7306314	7307793
Homo sapiens	X	NT_011651	LOC642874	+	7311426	7311905
Homo sapiens	X	NT_011651	FAM121A	+	7555213	7639082
Homo sapiens	X	NT_011651	SATL1	-	7659754	7643608
Homo sapiens	X	NT_011651	ZNF711	+	7795346	7824676
Homo sapiens	X	NT_011651	POF1B	-	7931056	7828710
Homo sapiens	X	NT_011651	CHM	-	8598874	8412493
Homo sapiens	X	NT_011651	LOC441505	-	8637652	8636021
Homo sapiens	X	NT_011651	DACH2	+	8699933	9383898
Homo sapiens	X	NT_011651	bA345E19.2	-	9350537	9349912
Homo sapiens	X	NT_011651	KLHL4	+	10069117	10221358
Homo sapiens	X	NT_011651	RPSAP15	-	10255621	10254581
Homo sapiens	X	NT_011651	MRPS22P1	-	10361046	10360590
Homo sapiens	X	NT_011651	CAPZA1P	-	10648554	10647700
Homo sapiens	X	NT_011651	CPXCR1	+	11298564	11306088
Homo sapiens	X	NT_011651	TGIF2LX	+	12473248	12474190
Homo sapiens	X	NT_011651	USP12P2	+	12663794	12666036
Homo sapiens	X	NT_011651	PABPC5	+	13985905	13989891
Homo sapiens	X	NT_011651	LOC728150	+	14328808	14330991
Homo sapiens	X	NT_011651	PCDH11X	+	14330612	15174534
Homo sapiens	X	NT_011651	LOC642784	-	14665768	14664401
Homo sapiens	X	NT_011651	KRT18L1	+	15010918	15012328
Homo sapiens	X	NT_011651	LOC392501	-	15228261	15227826
Homo sapiens	X	NT_011651	LOC401602	-	15776322	15773525
Homo sapiens	X	NT_011651	LOC643310	-	15839285	15839040
Homo sapiens	X	NT_011651	NAP1L3	-	16224916	16222237
Homo sapiens	X	NT_011651	RP1-32F7.2	+	16225513	16263569
Homo sapiens	X	NT_011651	LOC643371	+	16641861	16871321
Homo sapiens	X	NT_011651	CALM1P1	+	18051115	18051222
Homo sapiens	X	NT_011651	LOC648927	-	18525621	18524635
Homo sapiens	X	NT_011651	LOC643486	-	18889058	18888768
Homo sapiens	X	NT_011651	DIAPH2	+	19236017	20156300
Homo sapiens	X	NT_011651	RPA4	+	19435215	19436774
Homo sapiens	X	NT_011651	LOC392505	+	20802987	20803849
Homo sapiens	X	NT_011651	LOC643563	+	20940816	20942245
Homo sapiens	X	NT_011651	LOC442459	-	22307672	22270661
Homo sapiens	X	NT_011651	LOC643605	-	22702246	22701088
Homo sapiens	X	NT_011651	LOC643617	-	22708158	22707119
Homo sapiens	X	NT_011651	PCDH19	-	22958460	22842948
Homo sapiens	X	NT_011651	TNMD	+	23136138	23151186
Homo sapiens	X	NT_011651	TSPAN6	-	23188102	23180103
Homo sapiens	X	NT_011651	SRPX2	+	23195533	23233719
Homo sapiens	X	NT_011651	SYTL4	-	23282806	23225796
Homo sapiens	X	NT_011651	LOC442460	-	23352081	23351587
Homo sapiens	X	NT_011651	LOC392508	+	23352474	23354359
Homo sapiens	X	NT_011651	CSTF2	+	23371656	23392232
Homo sapiens	X	NT_011651	NOX1	-	23425642	23394621
Homo sapiens	X	NT_011651	HNRPA1P6	-	23407677	23406700
Homo sapiens	X	NT_011651	HNRPA1P5	-	23439925	23439226
Homo sapiens	X	NT_011651	XKRX	-	23480206	23464744
Homo sapiens	X	NT_011651	dJ341D10.1	+	23508507	23510616
Homo sapiens	X	NT_011651	ARL13A	+	23521021	23542009
Homo sapiens	X	NT_011651	CXorf34	-	23603378	23560839
Homo sapiens	X	NT_011651	TMEM35	+	23630171	23647661
Homo sapiens	X	NT_011651	CENPI	+	23651106	23714286
Homo sapiens	X	NT_011651	LOC392510	-	23742770	23741757
Homo sapiens	X	NT_011651	DRP2	+	23771293	23812225
Homo sapiens	X	NT_011651	TAF7L	-	23844353	23819549
Homo sapiens	X	NT_011651	TIMM8A	-	23899995	23896958
Homo sapiens	X	NT_011651	BTK	-	23937490	23900750
Homo sapiens	X	NT_011651	RPL36A	+	23942256	23947091
Homo sapiens	X	NT_011651	GLA	-	23959259	23949105
Homo sapiens	X	NT_011651	HNRPH2	+	23959499	23965429
Homo sapiens	X	NT_011651	ARMCX4	+	24036725	24084754
Homo sapiens	X	NT_011651	LOC158948	-	24090741	24088488
Homo sapiens	X	NT_011651	ARMCX1	+	24101822	24105991
Homo sapiens	X	NT_011651	LOC653354	+	24148640	24149357
Homo sapiens	X	NT_011651	ARMCX6	-	24169299	24166416
Homo sapiens	X	NT_011651	ARMCX3	+	24174428	24179139
Homo sapiens	X	NT_011651	ARMCX2	-	24211143	24206575
Homo sapiens	X	NT_011651	GKP6	-	24331872	24329735
Homo sapiens	X	NT_011651	NXF5	-	24408857	24383393
Homo sapiens	X	NT_011651	ZMAT1	-	24483308	24433570
Homo sapiens	X	NT_011651	TCEAL2	+	24676968	24678992
Homo sapiens	X	NT_011651	TCEAL6	-	24693679	24691758
Homo sapiens	X	NT_011651	NGFRAP1L1	-	24707337	24704992
Homo sapiens	X	NT_011651	LOC643877	+	24724405	24737465
Homo sapiens	X	NT_011651	NXF2	+	24766588	24877939
Homo sapiens	X	NT_011651	LOC728343	-	25023040	24911624
Homo sapiens	X	NT_011651	TMSL8	-	25068007	25064918
Homo sapiens	X	NT_011651	LOC643976	-	25099450	25097903
Homo sapiens	X	NT_011651	NXF4	+	25101201	25122929
Homo sapiens	X	NT_011651	ARMCX5	+	25150466	25155395
Homo sapiens	X	NT_011651	GPRASP1	+	25204984	25209688
Homo sapiens	X	NT_011651	GPRASP2	+	25263648	25268969
Homo sapiens	X	NT_011651	BHLHB9	+	25271962	25303676
Homo sapiens	X	NT_011651	LOC644026	-	25299765	25297056
Homo sapiens	X	NT_011651	MTND2P2	+	25338049	25339623
Homo sapiens	X	NT_011651	LOC286526	+	25488508	25489536
Homo sapiens	X	NT_011651	BEX1	-	25615476	25613889
Homo sapiens	X	NT_011651	NXF3	-	25644330	25627057
Homo sapiens	X	NT_011651	BEXL1	+	25766360	25768431
Homo sapiens	X	NT_011651	TCEAL8	-	25806429	25804231
Homo sapiens	X	NT_011651	TCEAL5	-	25828108	25824927
Homo sapiens	X	NT_011651	BEX2	-	25862253	25860582
Homo sapiens	X	NT_011651	TCEAL7	+	25881473	25883562
Homo sapiens	X	NT_011651	WBP5	+	25907688	25909705
Homo sapiens	X	NT_011651	NGFRAP1	+	25927576	25929309
Homo sapiens	X	NT_011651	RAB40A	-	26070725	26050989
Homo sapiens	X	NT_011651	TCEAL4	+	26136727	26138965
Homo sapiens	X	NT_011651	TCEAL3	+	26159142	26161163
Homo sapiens	X	NT_011651	TCEAL1	+	26179956	26182189
Homo sapiens	X	NT_011651	MORF4L2	-	26237904	26226741
Homo sapiens	X	NT_011651	TMEM31	+	26262145	26265268
Homo sapiens	X	NT_011651	PLP1	+	26328062	26343856
Homo sapiens	X	NT_011651	RAB9B	-	26383466	26376259
Homo sapiens	X	NT_011651	LOC442461	-	26456354	26455547
Homo sapiens	X	NT_011651	LOC644261	+	26478985	26479907
Homo sapiens	X	NT_011651	LOC728493	-	26513250	26512209
Homo sapiens	X	NT_011651	MGC39900	+	26513513	26529235
Homo sapiens	X	NT_011651	LOC644328	+	26526652	26527645
Homo sapiens	X	NT_011651	H2BFWT	-	26564564	26562028
Homo sapiens	X	NT_011651	H2BFM	+	26587605	26593328
Homo sapiens	X	NT_011651	MCART6	-	26698016	26640206
Homo sapiens	X	NT_011651	LOC644353	+	26653328	26656841
Homo sapiens	X	NT_011651	CXorf39	+	26707609	26732435
Homo sapiens	X	NT_011651	ESX1	-	26795896	26791027
Homo sapiens	X	NT_011651	IL1RAPL2	+	27107304	28308130
Homo sapiens	X	NT_011651	LOC644415	-	27188989	27188153
Homo sapiens	X	NT_011651	TEX13A	-	27761666	27759919
Homo sapiens	X	NT_011651	LOC643535	+	27946626	27948025
Homo sapiens	X	NT_011651	NRK	+	28362844	28498910
Homo sapiens	X	NT_011651	SERPINA7	-	28577374	28573505
Homo sapiens	X	NT_011651	MUM1L1	+	28717627	28749256
Homo sapiens	X	NT_011651	LOC644504	+	28867078	28867359
Homo sapiens	X	NT_011651	CXorf57	+	29151561	29218980
Homo sapiens	X	NT_011651	RNF128	+	29233376	29336554
Homo sapiens	X	NT_011651	TBC1D8B	+	29342227	29415688
Homo sapiens	X	NT_011651	LOC92129	-	29442869	29439601
Homo sapiens	X	NT_011651	CLDN2	+	29459942	29470399
Homo sapiens	X	NT_011651	MORC4	-	29525533	29480277
Homo sapiens	X	NT_011651	RBM41	-	29658342	29606676
Homo sapiens	X	NT_011651	LOC644563	+	29661535	29671807
Homo sapiens	X	NT_011651	NUP62CL	-	29745852	29663010
Homo sapiens	X	NT_011651	CXorf41	+	29746170	29783781
Homo sapiens	X	NT_011651	MYCL2	+	29812120	29813196
Homo sapiens	X	NT_011651	LOC644588	-	29892380	29891188
Homo sapiens	X	NT_011651	LOC392516	+	29959824	29972674
Homo sapiens	X	NT_011651	FRMPD3	+	30061988	30144787
Homo sapiens	X	NT_011651	PRPS1	+	30168067	30190564
Homo sapiens	X	NT_011651	TSC22D3	-	30315325	30252759
Homo sapiens	X	NT_011651	MID2	+	30365768	30466729
Homo sapiens	X	NT_011651	NOD13	+	30513339	30515083
Homo sapiens	X	NT_011651	TEX13B	-	30521908	30520402
Homo sapiens	X	NT_011651	VSIG1	+	30584508	30618722
Homo sapiens	X	NT_011651	PSMD10	-	30631156	30623745
Homo sapiens	X	NT_011651	ATG4A	+	30631242	30694204
Homo sapiens	X	NT_011651	COL4A6	-	30979019	30695154
Homo sapiens	X	NT_011651	COL4A5	+	30979462	31237083
Homo sapiens	X	NT_011651	IRS4	-	31275959	31272020
Homo sapiens	X	NT_011651	LOC644728	+	31880992	31882234
Homo sapiens	X	NT_011651	GUCY2F	-	32021593	31912443
Homo sapiens	X	NT_011651	NXT2	+	32075318	32084221
Homo sapiens	X	NT_011651	LOC441511	+	32109230	32109829
Homo sapiens	X	NT_011651	KCNE1L	-	32164701	32163237
Homo sapiens	X	NT_011651	ACSL4	-	32272929	32180872
Homo sapiens	X	NT_011651	LOC392520	+	32392851	32393456
Homo sapiens	X	NT_011651	TMEM164	+	32542670	32713082
Homo sapiens	X	NT_011651	AMMECR1	-	32857688	32733722
Homo sapiens	X	NT_011651	GNG5ps	-	32886509	32886083
Homo sapiens	X	NT_011651	RGAG1	+	32958593	32995869
Homo sapiens	X	NT_011651	TDGF3	+	33059848	33062557
Homo sapiens	X	NT_011651	CHRDL1	-	33335301	33214781
Homo sapiens	X	NT_011651	LOC728828	-	33638593	33635654
Homo sapiens	X	NT_011651	PAK3	+	33635908	33760468
Homo sapiens	X	NT_011651	CAPN6	-	33810059	33784639
Homo sapiens	X	NT_011651	DCX	-	33951714	33833315
Homo sapiens	X	NT_011651	LOC643873	-	34161025	34159213
Homo sapiens	X	NT_011651	LOC392522	-	34167578	34163746
Homo sapiens	X	NT_011651	GLT28D1	+	34220721	34228332
Homo sapiens	X	NT_011651	LOC728848	+	34247789	34263438
Homo sapiens	X	NT_011651	CXorf45	+	34266386	34300180
Homo sapiens	X	NT_011651	TRPC5	-	34622312	34313850
Homo sapiens	X	NT_011651	ZCCHC16	+	34622561	34996781
Homo sapiens	X	NT_011651	DPRXP7	-	34860057	34859404
Homo sapiens	X	NT_011651	LOC643888	+	34920180	34923092
Homo sapiens	X	NT_011651	LHFPL1	-	35219590	35170187
Homo sapiens	X	NT_011651	LOC203510	+	35228119	35230083
Homo sapiens	X	NT_011651	AMOT	-	35380351	35314413
Homo sapiens	X	NT_011651	LOC139466	+	35967295	36062573
Homo sapiens	X	NT_033330	CRLF2	-	17295	660
Homo sapiens	X	NT_033330	CSF2RA	+	73467	114593
Homo sapiens	X	NT_033330	IL3RA	+	141275	187348
Homo sapiens	X	NT_033330	SLC25A6	-	196760	190811
Homo sapiens	X	NT_033330	LOC729018	+	197026	203217
Homo sapiens	X	NT_033330	CXYorf2	+	206702	220080
Homo sapiens	X	NT_033330	ASMTL	-	257499	207903
Homo sapiens	X	NT_033330	P2RY8	-	341766	267231
Homo sapiens	X	NT_033330	DXYS155E	+	396252	407179
Homo sapiens	X	NT_033330	LOC729022	-	397574	396485
Homo sapiens	X	NT_033330	ASMT	+	400114	447740
Homo sapiens	X	NT_033330	LOC729036	+	621552	622838
Homo sapiens	X	NT_033330	LOC729039	+	622897	624123
Homo sapiens	X	NT_028405	LOC286528	+	57459	58043
Homo sapiens	X	NT_028405	HTR2C	+	250883	576956
Homo sapiens	X	NT_028405	LOC727794	-	252874	251511
Homo sapiens	X	NT_028405	SNORA35	+	297591	297718
Homo sapiens	X	NT_028405	IL13RA2	-	684539	670870
Homo sapiens	X	NT_028405	LOC642307	+	736195	736703
Homo sapiens	X	NT_028405	LRCH2	-	900967	777511
Homo sapiens	X	NT_028405	TMSL7	+	799849	800330
Homo sapiens	X	NT_028405	CXorf55	+	857299	859758
Homo sapiens	X	NT_028405	LUZP4	+	956624	974453
Homo sapiens	X	NT_028405	PLS3	+	1227841	1317322
Homo sapiens	X	NT_028405	LOC450246	-	1329638	1326356
Homo sapiens	X	NT_028405	ASSP5	+	1331475	1332972
Homo sapiens	X	NT_028405	LOC642357	+	1369463	1370772
Homo sapiens	X	NT_028405	LOC728825	-	1386050	1384982
Homo sapiens	X	NT_028405	LOC642383	-	1393607	1392729
Homo sapiens	X	NT_028405	LOC727864	-	1396588	1395710
Homo sapiens	X	NT_028405	LOC727875	-	1399569	1398691
Homo sapiens	X	NT_028405	LOC642450	-	1402552	1401674
Homo sapiens	X	NT_028405	LOC727892	-	1405531	1404653
Homo sapiens	X	NT_028405	LOC727907	-	1408522	1407644
Homo sapiens	X	NT_028405	LOC727917	-	1411513	1410635
Homo sapiens	X	NT_028405	LOC727932	-	1414496	1413618
Homo sapiens	X	NT_028405	LOC727946	-	1417481	1416603
Homo sapiens	X	NT_028405	LOC727952	-	1420460	1419582
Homo sapiens	X	NT_028405	LOC727968	-	1423447	1422569
Homo sapiens	X	NT_028405	LOC727979	-	1426416	1425538
Homo sapiens	X	NT_028405	LOC727990	-	1429409	1428531
Homo sapiens	X	NT_028405	LOC728001	-	1432418	1431540
Homo sapiens	X	NT_028405	LOC642694	-	1437217	1436729
Homo sapiens	X	NT_028405	LOC642731	-	1445689	1444769
Homo sapiens	X	NT_028405	LOC392525	+	1614840	1615781
Homo sapiens	X	NT_028405	LOC642812	-	1679820	1678272
Homo sapiens	X	NT_028405	AGTR2	+	1742107	1745924
Homo sapiens	X	NT_028405	SLC6A14	+	2007894	2032727
Homo sapiens	X	NT_028405	LOC203413	-	2034239	2032953
Homo sapiens	X	NT_011757	DHRSX	-	300737	19309
Homo sapiens	X	NT_011757	ZBED1	-	300770	286217
Homo sapiens	X	NT_011757	LOC729062	-	414702	409096
Homo sapiens	X	NT_011757	LOC401577	+	416593	438497
Homo sapiens	X	NT_011757	CD99	+	490990	541112
Homo sapiens	X	NT_011757	XG	+	551877	615730
Homo sapiens	X	NT_011757	GYG2	+	628625	682495
Homo sapiens	X	NT_011757	ARSD	-	729154	703773
Homo sapiens	X	NT_011757	ARSE	-	764073	734614
Homo sapiens	X	NT_011757	ARSH	+	806416	833188
Homo sapiens	X	NT_011757	ARSF	+	866615	912509
Homo sapiens	X	NT_011757	MXRA5	-	1143636	1108368
Homo sapiens	X	NT_011757	ASSP4	+	1166885	1168404
Homo sapiens	X	NT_011757	PRKX	-	1513423	1404173
Homo sapiens	X	NT_011757	LOC729116	-	1513378	1513154
Homo sapiens	X	NT_011757	LOC729129	-	1616268	1615603
Homo sapiens	X	NT_011757	LOC389906	-	1646936	1617331
Homo sapiens	X	NT_011757	LOC729137	-	1663380	1652816
Homo sapiens	X	NT_011757	LOC441528	-	1685361	1681005
Homo sapiens	X	NT_011757	LOC286434	-	1701806	1691241
Homo sapiens	X	NT_011757	LOC729162	-	1738879	1719434
Homo sapiens	X	NT_011757	LOC347381	+	3104988	3106987
Homo sapiens	X	NT_011757	NLGN4X	-	4028468	3689845
Homo sapiens	X	NT_011757	LOC729193	-	4030094	4026087
Homo sapiens	X	NT_011757	LOC392424	-	4222504	4221895
Homo sapiens	X	NT_011757	VCX3A	-	4334921	4333421
Homo sapiens	X	NT_011757	LOC392425	+	4789132	4789586
Homo sapiens	X	NT_011757	HDHD1A	-	4947951	4848723
Homo sapiens	X	NT_011757	STS	+	5019259	5154444
Homo sapiens	X	NT_011757	VCX	+	5642065	5643946
Homo sapiens	X	NT_011757	PNPLA4	-	5727205	5698566
Homo sapiens	X	NT_011757	VCX2	-	5971070	5969747
Homo sapiens	X	NT_011757	VCX-C	+	6264633	6266309
Homo sapiens	X	NT_011757	KAL1	-	6531989	6328677
Homo sapiens	X	NT_011757	FAM9A	-	6601186	6590598
Homo sapiens	X	NT_011757	LOC392426	-	6782308	6780225
Homo sapiens	X	NT_011757	FAM9B	-	6833930	6824798
Homo sapiens	X	NT_011757	LOC729300	+	6833176	6833658
Homo sapiens	X	NT_011757	LOC442443	+	7140672	7214338
Homo sapiens	X	NT_011757	LOC729322	+	7264489	7265818
Homo sapiens	X	NT_011757	TBL1X	+	7264810	7519540
Homo sapiens	X	NT_011757	GPR143	-	7565679	7525216
Homo sapiens	X	NT_011757	SHROOM2	+	7586258	7749243
Homo sapiens	X	NT_011757	LOC729361	+	7814200	7815184
Homo sapiens	X	NT_011757	WWC3	+	7815374	7944273
Homo sapiens	X	NT_011757	CLCN4	+	7956799	8035282
Homo sapiens	X	NT_011757	MID1	-	8633389	8247910
Homo sapiens	X	NT_011757	HCCS	+	8911135	8922884
Homo sapiens	X	NT_011757	ARHGAP6	-	9465504	8937347
Homo sapiens	X	NT_011757	FAM9C	+	9014607	9028839
Homo sapiens	X	NT_011757	AMELX	+	9093216	9100564
Homo sapiens	X	NT_011757	LOC139952	-	9540856	9503920
Homo sapiens	X	NT_011757	MSL3L1	+	9557961	9575555
Homo sapiens	X	NT_011757	FRMPD4	+	9938268	10522212
Homo sapiens	X	NT_011757	PRPS2	+	10591176	10624026
Homo sapiens	X	NT_011757	LOC729412	+	10625897	10626073
Homo sapiens	X	NT_011757	MRPL35P4	-	10645232	10644864
Homo sapiens	X	NT_011757	TLR7	+	10666885	10690163
Homo sapiens	X	NT_011757	TLR7-like	+	10685313	10688593
Homo sapiens	X	NT_011757	TLR8	+	10706441	10722971
Homo sapiens	X	NT_011757	TMSB4X	+	10774910	10777029
Homo sapiens	X	NT_011757	LOC728906	-	10844483	10835435
Homo sapiens	X	NT_011757	ATXN3L	-	11119736	11118449
Homo sapiens	X	NT_011757	LOC441481	-	11179142	11178537
Homo sapiens	X	NT_011757	EGFL6	+	11369424	11433377
Homo sapiens	X	NT_011757	LOC645769	-	11453241	11450797
Homo sapiens	X	NT_011757	MGC17403	+	11462710	11463366
Homo sapiens	X	NT_011757	RAB9A	+	11489024	11509447
Homo sapiens	X	NT_011757	TRAPPC2	-	11534410	11512044
Homo sapiens	X	NT_011757	OFD1	+	11534563	11569155
Homo sapiens	X	NT_011757	GPM6B	-	11738514	11570745
Homo sapiens	X	NT_011757	FAM51A1	-	11829694	11808081
